DEBUG 2019-05-28 10:15:33,401 [1    ] Abp.Modules.AbpModuleManager             - Loading Abp modules...
DEBUG 2019-05-28 10:15:33,642 [1    ] Abp.Modules.AbpModuleManager             - Found 16 ABP modules in total.
DEBUG 2019-05-28 10:15:33,710 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: JIT.InfomationSystem.Web.Host.Startup.InfomationSystemWebHostModule, JIT.InfomationSystem.Web.Host, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:15:33,714 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: JIT.InfomationSystem.InfomationSystemWebCoreModule, JIT.InfomationSystem.Web.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:15:33,716 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: JIT.InfomationSystem.InfomationSystemApplicationModule, JIT.InfomationSystem.Application, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:15:33,717 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: JIT.InfomationSystem.InfomationSystemCoreModule, JIT.InfomationSystem.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:15:33,718 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Zero.AbpZeroCoreModule, Abp.ZeroCore, Version=4.3.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:15:33,719 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Zero.AbpZeroCommonModule, Abp.Zero.Common, Version=4.3.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:15:33,719 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AbpKernelModule, Abp, Version=4.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:15:33,720 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AutoMapper.AbpAutoMapperModule, Abp.AutoMapper, Version=4.3.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:15:33,721 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: JIT.InfomationSystem.EntityFrameworkCore.InfomationSystemEntityFrameworkModule, JIT.InfomationSystem.EntityFrameworkCore, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:15:33,722 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Zero.EntityFrameworkCore.AbpZeroCoreEntityFrameworkCoreModule, Abp.ZeroCore.EntityFrameworkCore, Version=4.3.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:15:33,722 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.EntityFrameworkCore.AbpEntityFrameworkCoreModule, Abp.EntityFrameworkCore, Version=4.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:15:33,723 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.EntityFramework.AbpEntityFrameworkCommonModule, Abp.EntityFramework.Common, Version=4.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:15:33,723 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AspNetCore.AbpAspNetCoreModule, Abp.AspNetCore, Version=4.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:15:33,724 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.Web.AbpWebCommonModule, Abp.Web.Common, Version=4.5.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:15:33,724 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: Abp.AspNetCore.SignalR.AbpAspNetCoreSignalRModule, Abp.AspNetCore.SignalR, Version=4.3.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:15:33,725 [1    ] Abp.Modules.AbpModuleManager             - Loaded module: JIT.DIME2Barcode.JITDIME2BarcodeModule, JIT.DIME2Barcode, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:15:33,729 [1    ] Abp.Modules.AbpModuleManager             - 16 modules loaded.
DEBUG 2019-05-28 10:15:33,916 [1    ] o.Configuration.LanguageManagementConfig - Converted Abp (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource
DEBUG 2019-05-28 10:15:33,916 [1    ] o.Configuration.LanguageManagementConfig - Converted AbpZero (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource
DEBUG 2019-05-28 10:15:33,916 [1    ] o.Configuration.LanguageManagementConfig - Converted InfomationSystem (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource
DEBUG 2019-05-28 10:15:33,916 [1    ] o.Configuration.LanguageManagementConfig - Converted AbpWeb (Abp.Localization.Dictionaries.DictionaryBasedLocalizationSource) to MultiTenantLocalizationSource
DEBUG 2019-05-28 10:15:35,459 [1    ] ameworkCore.AbpEntityFrameworkCoreModule - Registering DbContext: JIT.InfomationSystem.EntityFrameworkCore.InfomationSystemDbContext, JIT.InfomationSystem.EntityFrameworkCore, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:15:35,705 [1    ] ameworkCore.AbpEntityFrameworkCoreModule - Registering DbContext: JIT.DIME2Barcode.Entities.Dime2barcodeContext, JIT.DIME2Barcode, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2019-05-28 10:15:37,291 [1    ] Abp.Localization.LocalizationManager     - Initializing 4 localization sources.
DEBUG 2019-05-28 10:15:37,437 [1    ] Abp.Localization.LocalizationManager     - Initialized localization source: Abp
DEBUG 2019-05-28 10:15:37,519 [1    ] Abp.Localization.LocalizationManager     - Initialized localization source: AbpZero
DEBUG 2019-05-28 10:15:37,615 [1    ] Abp.Localization.LocalizationManager     - Initialized localization source: InfomationSystem
DEBUG 2019-05-28 10:15:37,669 [1    ] Abp.Localization.LocalizationManager     - Initialized localization source: AbpWeb
DEBUG 2019-05-28 10:15:38,076 [1    ] Abp.BackgroundJobs.BackgroundJobManager  - Start background worker: Castle.Proxies.BackgroundJobManagerProxy
DEBUG 2019-05-28 10:15:38,145 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Found 12 classes define auto mapping attributes
DEBUG 2019-05-28 10:15:38,145 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.InfomationSystem.Models.TokenAuth.ExternalLoginProviderInfoModel
DEBUG 2019-05-28 10:15:38,158 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.InfomationSystem.Users.Dto.CreateUserDto
DEBUG 2019-05-28 10:15:38,160 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.InfomationSystem.Users.Dto.UserDto
DEBUG 2019-05-28 10:15:38,162 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.InfomationSystem.Sessions.Dto.TenantLoginInfoDto
DEBUG 2019-05-28 10:15:38,162 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.InfomationSystem.Sessions.Dto.UserLoginInfoDto
DEBUG 2019-05-28 10:15:38,163 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.InfomationSystem.Roles.Dto.CreateRoleDto
DEBUG 2019-05-28 10:15:38,163 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.InfomationSystem.Roles.Dto.PermissionDto
DEBUG 2019-05-28 10:15:38,163 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.InfomationSystem.Roles.Dto.RoleDto
DEBUG 2019-05-28 10:15:38,164 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.InfomationSystem.MultiTenancy.Dto.CreateTenantDto
DEBUG 2019-05-28 10:15:38,164 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.InfomationSystem.MultiTenancy.Dto.TenantDto
DEBUG 2019-05-28 10:15:38,164 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.DIME2Barcode.TaskAssignment.ICMODispBill.Dtos.DispBillCreateInput
DEBUG 2019-05-28 10:15:38,165 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - JIT.DIME2Barcode.TaskAssignment.TaskScheduling.Dtos.TaskSchedulingDto
INFO  2019-05-28 10:15:45,458 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/  
INFO  2019-05-28 10:15:45,458 [5    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 DEBUG http://localhost:21021/  0
INFO  2019-05-28 10:15:45,530 [5    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 71.1244ms 200 
INFO  2019-05-28 10:15:47,866 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 OPTIONS http://localhost:21021/api/services/app/VW_MODispBillList/GetAll?%E6%93%8D%E4%BD%9C%E8%80%85=1&FStatus=0&Sorting=FClosed&SkipCount=0&MaxResultCount=20  
INFO  2019-05-28 10:15:47,875 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 OPTIONS http://localhost:21021/api/services/app/ICMaterialPicking/CreateOrUpdate  
WARN  2019-05-28 10:15:47,903 [13   ] pNetCore.Cors.Infrastructure.CorsService - The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported.
WARN  2019-05-28 10:15:47,903 [10   ] pNetCore.Cors.Infrastructure.CorsService - The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported.
INFO  2019-05-28 10:15:47,911 [13   ] pNetCore.Cors.Infrastructure.CorsService - CORS policy execution successful.
INFO  2019-05-28 10:15:47,913 [10   ] pNetCore.Cors.Infrastructure.CorsService - CORS policy execution successful.
INFO  2019-05-28 10:15:47,990 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 114.8123ms 204 
INFO  2019-05-28 10:15:48,044 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 98.0554ms 204 
INFO  2019-05-28 10:15:48,068 [15   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 POST http://localhost:21021/api/services/app/ICMaterialPicking/CreateOrUpdate application/json;charset=UTF-8 244
INFO  2019-05-28 10:15:48,071 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/api/services/app/VW_MODispBillList/GetAll?%E6%93%8D%E4%BD%9C%E8%80%85=1&FStatus=0&Sorting=FClosed&SkipCount=0&MaxResultCount=20  
WARN  2019-05-28 10:15:48,099 [10   ] pNetCore.Cors.Infrastructure.CorsService - The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported.
WARN  2019-05-28 10:15:48,103 [15   ] pNetCore.Cors.Infrastructure.CorsService - The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported.
INFO  2019-05-28 10:15:48,110 [10   ] pNetCore.Cors.Infrastructure.CorsService - CORS policy execution successful.
INFO  2019-05-28 10:15:48,117 [15   ] pNetCore.Cors.Infrastructure.CorsService - CORS policy execution successful.
INFO  2019-05-28 10:15:48,452 [10   ] uthentication.JwtBearer.JwtBearerHandler - Successfully validated the token.
INFO  2019-05-28 10:15:48,456 [15   ] uthentication.JwtBearer.JwtBearerHandler - Successfully validated the token.
INFO  2019-05-28 10:15:53,008 [6    ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {action = "Index", controller = "Home", area = ""}. Executing action JIT.InfomationSystem.Web.Host.Controllers.HomeController.Index (JIT.InfomationSystem.Web.Host)
INFO  2019-05-28 10:15:53,011 [12   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {area = "app", action = "CreateOrUpdate", controller = "ICMaterialPicking"}. Executing action JIT.JIT.TaskAssignment.ICMaterialPicking.ICMaterialPickingAppService.CreateOrUpdate (JIT.DIME2Barcode)
INFO  2019-05-28 10:15:53,030 [10   ] ore.Mvc.Internal.ControllerActionInvoker - Route matched with {area = "app", action = "GetAll", controller = "VW_MODispBillList"}. Executing action JIT.JIT.TaskAssignment.VW_MODispBillList.VW_MODispBillListAppService.GetAll (JIT.DIME2Barcode)
WARN  2019-05-28 10:15:53,049 [10   ] pNetCore.Cors.Infrastructure.CorsService - The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported.
WARN  2019-05-28 10:15:53,053 [12   ] pNetCore.Cors.Infrastructure.CorsService - The CORS protocol does not allow specifying a wildcard (any) origin and credentials at the same time. Configure the policy by listing individual origins if credentials needs to be supported.
INFO  2019-05-28 10:15:53,068 [10   ] pNetCore.Cors.Infrastructure.CorsService - CORS policy execution successful.
INFO  2019-05-28 10:15:53,076 [12   ] pNetCore.Cors.Infrastructure.CorsService - CORS policy execution successful.
